Model,F1_Score_Mean,F1_Score_Variance,F1_Score_Std,AUC_Mean,AUC_Variance,AUC_Std,Accuracy_Mean,Accuracy_Variance,Accuracy_Std
decision_tree,0.15248328562878982,0.011827263217714941,0.10875322164292395,0.795513574318011,0.00018504385611403673,0.013603082596016123,0.8623856827499212,2.105383539677371e-06,0.001450993983336034
knn,0.2757124838799306,0.00030560873177952073,0.017481668449536525,0.7213223562638977,0.0009167504600098549,0.030277887310871856,0.8463615578681805,5.607487221506339e-05,0.0074883157128331195
logistic_regression,0.24241768333216188,1.3793074656355889e-09,3.7139028873081604e-05,0.8191632883007249,1.796792790367715e-13,4.238859269152156e-07,0.8621491643014821,7.769580062774782e-10,2.7873966461152927e-05
svm,0.12352201257861635,0.0,0.0,0.8192287148513343,1.0595844014219371e-11,3.2551258062046345e-06,0.8626616209397667,1.232595164407831e-32,1.1102230246251565e-16
